Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE
1,2026-03-04 16:58:54,13,atsui,59.055,12.229,12,23,2,3.745,40,81.818,50,60,19,21,94,165,8,9,1
4,2026-03-25 19:01:15,12,watashiii,41.844,0.0,3,6,0,4.051,22,84.615,47.368,35.78,5,3,59,141,3,2,1
20,2026-01-30 22:31:02,10,kar72,47.101,7.786,3,26,0,4.482,32,90,41.176,42.453,7,16,65,138,7,3,2
21,2026-03-01 22:02:42,20,PoolNoodle,76.087,21.52,18,18,1,3.693,79,92.857,72.222,75.472,21,47,105,138,3,15,0
32,2026-03-25 19:01:15,20,beanman87,90.541,0.0,15,3,0,3.127,91,93.333,73.333,92.373,18,60,134,148,1,5,0
43,2026-01-30 22:31:02,12,mkby,49.167,8.844,3,23,0,4.237,22,93.75,55.556,44.086,5,14,76,165,2,9,1
51,2026-03-25 19:01:15,17,Chata,78.205,15.831,12,8,0,4.032,71,91.667,80,77.5,19,46,122,156,12,5,1
59,2026-03-04 16:58:54,11,neoburnz,50.0,6.993,5,24,1,4.5,24,83.333,60,43.519,9,15,68,136,2,10,0
64,2026-03-25 19:01:15,19,Yokipi,86.096,19.699,12,8,0,3.611,90,95,82.353,86.585,23,61,161,187,12,9,3
80,2026-03-04 16:58:54,9,moosepi,37.255,4.4,1,19,5,3.982,20,43.75,30.435,37.719,3,11,57,153,2,4,0
83,2026-01-12 22:35:13,9,Milar,50.0,7.935,2,13,0,4.415,16,90.909,63.158,43,7,5,65,130,5,0,1
87,2026-02-10 16:15:25,5,Beokros,40.945,5.942,4,17,0,4.385,18,63.636,40,38.679,10,2,52,127,5,1,0
106,2026-01-12 22:35:13,13,cafezinho,66.154,13.497,7,13,0,3.93,35,100,73.684,61,15,13,86,130,5,0,1
121,2026-03-25 19:01:15,6,Janoxx,24.359,0.0,1,5,5,4.526,7,50,26.667,21.705,3,2,38,156,4,1,1
147,2026-03-04 16:58:54,12,thjalago,60.784,10.859,7,6,1,4.789,53,81.25,52.174,59.649,15,30,93,153,17,10,3
150,2026-02-10 16:15:25,4,Bommie,34.646,3.692,1,17,1,4.886,12,54.545,10,34.906,3,5,44,127,5,1,0
160,2026-02-10 16:15:25,7,Skychael,36.029,3.434,0,24,0,5.184,9,72.222,50,28.704,3,5,49,136,0,6,0
171,2026-03-01 22:02:42,6,JustAWeirdo,27.132,3.319,1,20,1,5.182,6,37.5,11.111,28.44,6,4,35,129,5,13,0
175,2026-01-12 22:35:13,7,Kirox,19.13,2.529,0,18,0,4.818,5,55.556,15.385,16.129,1,3,22,115,1,5,0
185,2026-03-25 19:01:15,8,MintyDude,32.432,5.636,7,3,3,4.292,17,53.333,26.667,31.193,12,1,48,148,5,7,0
260,2026-01-30 22:31:02,8,AnotherWish,35.385,5.044,3,26,3,4.717,15,45.455,47.368,32,6,5,46,138,8,2,2
263,2026-03-25 19:01:15,6,Tvaz,28.342,3.435,2,8,5,5.543,7,80,19.048,23.232,3,5,53,187,20,7,3
289,2026-03-01 22:02:42,11,Provenance,45.0,8.069,6,19,1,4.894,6,93.75,41.176,43.243,11,9,65,145,8,9,1
292,2026-03-04 16:58:54,6,FeyFey,27.206,2.981,1,6,4,6.121,7,66.667,33.333,25.455,4,4,38,153,12,16,2
335,2026-01-12 22:35:13,2,xeyz,7.826,0.734,0,18,1,5.556,1,44.444,23.077,2.151,1,0,9,115,1,5,0
376,2026-03-25 19:01:15,5,qwecocacola,27.66,3.046,2,6,6,5.217,8,50,5.556,28.44,4,3,39,141,9,14,1
379,2026-03-01 22:02:42,8,CipherKai,34.351,4.676,2,6,1,5.067,9,50,30,33.333,2,2,45,131,5,1,0
399,2026-03-04 16:58:54,4,ElJuanchi,22.436,2.569,1,8,5,4.6,9,41.176,34.783,19.167,3,5,35,156,12,12,0
405,2026-02-10 16:15:25,2,anicomi,9.449,0.921,2,17,3,6.0,2,36.364,0,7.547,2,0,12,127,5,1,0
410,2026-01-12 22:35:13,1,FoopyPoopy,7.5,0.922,1,19,0,5.667,2,37.5,0,3.226,1,0,9,120,1,5,0
428,2026-03-01 22:02:42,3,SaoriHayami,30.37,2.899,0,6,1,5.732,7,50,21.053,30.909,1,3,41,135,4,1,1
431,2026-03-25 19:01:15,9,Luna,41.026,5.273,1,8,9,5.25,5,61.538,43.478,38.356,7,9,71,187,5,11,2
437,2026-03-01 22:02:42,5,Loomi,25.984,3.473,1,12,0,5.152,7,50,35.294,23.077,1,3,33,127,2,3,1
453,2026-02-10 16:15:25,4,RyoutaVN,25.735,2.553,2,24,1,5.457,7,61.111,20,20.37,5,2,35,136,4,7,1
479,2026-03-25 19:01:15,11,NMapper,59.633,9.706,5,6,6,4.313,32,91.667,69.231,54.878,12,7,83,165,15,7,2
485,2026-03-25 19:01:15,17,labranche,75.556,18.681,11,6,3,3.922,62,20,68.421,75.455,13,39,104,141,10,6,2
487,2026-03-25 19:01:15,5,Aleksandy,25.806,2.7,1,3,7,5.562,9,45.455,26.087,23.333,4,2,32,148,5,12,1
