Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples
1,atsui,57.761,7.667,1.0,3.599,12.333,18.0,138.667,8,9,1,3
4,watashiii,41.844,3.0,0.0,4.051,5.0,3.0,141.0,3,2,1,1
20,kar72,45.598,3.0,0.0,4.08,6.0,12.5,132.5,7,3,2,2
21,PoolNoodle,71.29,14.333,0.333,3.182,16.333,39.667,127.333,3,15,0,3
32,beanman87,90.541,15.0,0.0,3.127,18.0,60.0,148.0,1,5,0,1
43,mkby,47.614,1.5,0.0,4.237,4.5,11.5,142.5,2,9,1,2
51,Chata,75.373,7.0,0.0,3.587,11.333,34.333,147.667,12,5,1,3
59,neoburnz,44.758,2.5,0.5,4.23,6.0,10.5,130.0,2,10,0,2
64,Yokipi,74.01,9.25,0.0,3.417,14.75,34.75,139.75,12,9,3,4
80,moosepi,37.255,1.0,5.0,3.982,3.0,11.0,153.0,2,4,0,1
83,Milar,50.0,2.0,0.0,4.415,7.0,5.0,130.0,5,0,1,1
87,Beokros,40.945,4.0,0.0,4.385,10.0,2.0,127.0,5,1,0,1
106,cafezinho,66.154,7.0,0.0,3.93,15.0,13.0,130.0,5,0,1,1
121,Janoxx,24.359,1.0,5.0,4.526,3.0,2.0,156.0,4,1,1,1
147,thjalago,50.201,4.8,0.6,3.886,9.2,16.4,136.4,17,10,3,5
150,Bommie,34.646,1.0,1.0,4.886,3.0,5.0,127.0,5,1,0,1
160,Skychael,36.029,0.0,0.0,5.184,3.0,5.0,136.0,0,6,0,1
171,JustAWeirdo,22.229,0.333,0.667,4.965,2.667,3.0,126.0,5,13,0,3
175,Kirox,19.13,0.0,0.0,4.818,1.0,3.0,115.0,1,5,0,1
185,MintyDude,30.944,3.5,2.5,4.067,7.0,0.5,138.5,5,7,0,2
260,AnotherWish,32.185,2.5,1.5,4.346,5.5,4.5,134.0,8,2,2,2
263,Tvaz,23.983,0.4,2.2,4.84,1.6,1.0,138.6,20,7,3,5
289,Provenance,42.279,3.667,0.667,4.298,6.333,5.667,130.667,8,9,1,3
292,FeyFey,25.384,0.2,2.0,5.035,1.6,2.2,137.8,12,16,2,5
335,xeyz,7.826,0.0,1.0,5.556,1.0,0.0,115.0,1,5,0,1
376,qwecocacola,22.322,1.25,3.25,4.639,2.75,1.75,134.25,9,14,1,4
379,CipherKai,34.351,2.0,1.0,5.067,2.0,2.0,131.0,5,1,0,1
399,ElJuanchi,20.231,0.5,2.5,4.493,2.0,2.75,138.0,12,12,0,4
405,anicomi,9.449,2.0,3.0,6.0,2.0,0.0,127.0,5,1,0,1
410,FoopyPoopy,7.5,1.0,0.0,5.667,1.0,0.0,120.0,1,5,0,1
428,SaoriHayami,30.37,0.0,1.0,5.732,1.0,3.0,135.0,4,1,1,1
431,Luna,34.6,0.667,4.0,4.456,3.667,5.333,157.333,5,11,2,3
437,Loomi,25.984,1.0,0.0,5.152,1.0,3.0,127.0,2,3,1,1
453,RyoutaVN,23.104,1.0,0.5,5.421,3.5,1.5,131.5,4,7,1,2
479,NMapper,49.026,3.0,2.0,4.029,7.25,6.75,140.25,15,7,2,4
485,labranche,54.674,6.0,1.0,3.53,9.333,22.667,137.333,10,6,2,3
487,Aleksandy,19.108,0.667,4.667,4.832,2.0,1.0,133.0,5,12,1,3
