Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples
1,atsui,15.339,0.5,4.75,5.659,2.0,0.5,157.0,11,12,1,4
4,watashiii,82.534,14.333,0.667,3.87,17.333,34.667,137.333,8,9,0,3
8,Hejsan,67.178,4.5,0.4,4.401,9.5,18.4,149.4,31,20,5,10
12,KaoriMaeda,43.65,1.0,0.5,5.205,3.5,3.0,145.5,9,3,0,2
14,ArronChu,65.958,7.75,1.75,3.976,12.25,17.75,140.0,15,6,1,4
20,kar72,52.79,1.333,0.0,4.623,3.667,16.333,137.0,7,9,0,3
21,PoolNoodle,50.402,2.5,0.0,4.962,3.5,9.5,153.0,8,3,0,2
31,SakurabaRola,44.776,3.0,0.0,4.417,5.0,9.0,134.0,1,4,0,1
33,Tsui,72.642,1.0,0.0,3.805,8.0,21.0,106.0,1,4,0,1
37,claydoll1091,29.565,0.0,0.0,4.794,3.0,2.0,115.0,2,3,0,1
38,Diukes,38.436,2.0,2.0,5.042,4.0,2.5,159.0,6,5,1,2
41,koroshiya,47.534,1.8,0.6,4.673,5.2,8.6,122.2,12,11,2,5
44,Nicole,39.171,1.0,0.75,4.834,4.75,2.25,146.75,14,6,2,4
45,LeNainDuPSG,48.756,1.5,0.5,4.587,5.0,6.0,98.5,6,3,0,2
46,Orfey,47.996,2.5,2.5,4.721,9.5,9.5,166.5,8,2,2,2
49,accelerator11,87.369,15.0,0.0,3.384,17.667,36.5,108.5,11,21,0,6
51,Chata,41.5,1.667,1.667,4.779,4.0,5.0,132.333,8,6,2,3
52,Thaleko,55.466,1.5,1.5,5.073,3.5,7.0,170.0,6,4,2,2
59,neoburnz,47.768,2.0,2.0,4.868,5.5,6.5,153.5,10,2,0,2
64,Yokipi,30.802,0.0,1.667,5.188,1.667,1.667,134.667,8,8,0,3
65,Baguett,60.632,5.0,0.0,3.928,8.5,14.0,108.5,5,5,0,2
72,ruuka,49.556,0.0,1.667,5.173,2.667,6.667,155.667,9,5,3,3
76,comfv,86.283,11.5,0.5,3.64,15.0,29.5,104.5,3,7,0,2
79,JuliAless64,42.274,1.0,0.0,5.061,2.667,3.667,134.0,10,6,0,3
80,moosepi,57.447,1.0,0.0,4.272,3.0,20.0,141.0,0,6,0,1
