anicomi, old rank: 78.267, new rank: 80.424, diff: 2.157
mahzrunner, old rank: 95.007, new rank: 96.748, diff: 1.741
YellowRose, old rank: 89.063, new rank: 90.603, diff: 1.54
neptune, old rank: 118.077, new rank: 119.216, diff: 1.139
keysha18, old rank: 82.918, new rank: 83.916, diff: 0.998
yahallonyanpasu, old rank: 115.364, new rank: 115.927, diff: 0.563
FurLain, old rank: 87.603, new rank: 88.128, diff: 0.525
Emdiel, old rank: 112.556, new rank: 112.912, diff: 0.356
Nunuchu42, old rank: 67.807, new rank: 68.099, diff: 0.292
Beokros, old rank: 106.533, new rank: 106.747, diff: 0.214
IAmAsianNoob, old rank: 72.738, new rank: 72.542, diff: -0.196
Pile, old rank: 99.284, new rank: 99.05, diff: -0.234
2skr, old rank: 88.737, new rank: 88.501, diff: -0.236
Jakemonkey, old rank: 97.241, new rank: 96.706, diff: -0.535
Bofu, old rank: 110.725, new rank: 110.186, diff: -0.539
Shadow, old rank: 90.897, new rank: 90.131, diff: -0.766
Fumiii, old rank: 110.589, new rank: 109.773, diff: -0.816
JustAWeirdo, old rank: 77.23, new rank: 76.295, diff: -0.935
inta, old rank: 84.397, new rank: 83.091, diff: -1.306
ElJuanchi, old rank: 75.927, new rank: 74.16, diff: -1.767
Skychael, old rank: 100.233, new rank: 98.076, diff: -2.157
Dav1d, old rank: 86.653, new rank: 84.26, diff: -2.393
