Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples
1.0,atsui,32.486,3.0,0.4,4.112,6.0,5.8,16.0,11.0,0.0,15.2,20.8,19.0,3.8,3.8,1.6,0.6,0.4,3.256,109.2,5
4.0,watashiii,71.331,9.333,0.0,3.474,18.5,23.833,21.0,11.0,0.0,55.333,33.333,67.167,11.833,11.0,2.333,3.5,1.667,3.046,124.333,6
7.0,Stunar,85.437,4.0,0.0,3.136,13.0,38.0,3.0,2.0,0.0,29.0,59.0,30.0,1.0,6.0,0.0,1.0,2.0,3.333,103.0,1
8.0,Hejsan,44.602,1.5,0.5,4.175,6.5,11.25,11.0,8.0,1.0,29.25,20.75,41.25,12.0,6.75,2.75,2.75,0.0,3.508,112.25,4
14.0,ArronChu,66.139,10.5,0.75,3.602,16.5,24.25,10.0,11.0,3.0,25.75,69.5,28.25,2.5,11.25,1.25,0.5,3.25,2.264,144.5,4
16.0,yahallonyanpasu,45.064,10.3,1.8,3.027,15.7,14.9,35.0,21.0,0.0,24.6,30.7,32.5,7.9,12.6,1.9,1.6,1.5,2.466,122.5,10
18.0,GyroInmobile,48.718,2.0,0.0,4.316,9.0,7.0,1.0,3.0,1.0,29.0,28.0,36.0,7.0,3.0,1.0,2.0,0.0,3.75,117.0,1
19.0,Jlin2,79.55,9.333,0.0,3.518,16.0,23.0,7.0,8.0,0.0,37.0,52.333,39.0,2.0,5.0,1.0,0.667,2.0,3.274,111.333,3
20.0,kar72,64.818,5.6,0.0,3.662,11.7,20.6,25.0,24.0,3.0,34.1,41.7,40.6,6.5,6.2,1.5,1.6,1.8,3.416,116.8,10
21.0,PoolNoodle,69.6,5.8,0.0,3.627,13.9,26.0,23.0,31.0,1.0,23.0,69.2,24.0,1.0,8.5,0.2,0.2,1.7,2.968,132.4,10
23.0,Shuuka,35.593,5.0,0.0,3.286,9.0,10.0,4.0,2.0,0.0,23.0,19.0,40.0,17.0,8.0,4.0,2.0,1.0,2.45,118.0,1
27.0,Deafness,71.936,6.833,0.5,3.741,15.5,28.333,15.0,20.0,0.0,67.833,31.167,80.333,12.5,8.667,3.667,3.833,0.833,3.443,137.667,6
28.0,FORTNAYT,77.321,8.0,0.0,3.526,19.5,27.5,8.0,4.0,0.0,43.5,53.5,44.5,1.0,11.0,0.5,0.5,2.0,3.372,125.5,2
30.0,revel,55.441,6.5,0.0,3.583,13.5,14.5,6.0,4.0,0.0,33.0,26.5,35.5,2.5,7.5,0.0,1.0,0.5,3.174,107.0,2
31.0,SakurabaRola,63.444,6.0,0.0,3.685,10.0,15.333,10.0,5.0,0.0,38.667,31.0,47.0,8.333,9.333,1.667,2.0,1.0,3.232,108.333,3
33.0,Tsui,59.86,4.6,0.1,3.775,13.2,19.8,32.0,22.0,1.0,23.4,52.7,27.4,4.0,6.3,1.1,0.8,1.4,3.226,127.5,10
34.0,YuriMeguri,71.047,4.0,0.0,3.768,11.8,30.8,17.0,11.0,1.0,44.0,52.2,49.6,5.6,7.2,2.2,1.8,1.6,3.417,135.4,5
36.0,anonimus_opinion,50.424,3.5,1.0,4.095,8.0,12.0,7.0,4.0,0.0,31.5,33.5,41.5,10.0,5.0,1.0,1.5,1.0,3.497,129.0,2
37.0,claydoll1091,43.871,5.9,0.0,3.947,9.8,8.9,30.0,24.0,1.0,21.1,32.4,25.9,4.8,8.7,1.8,0.9,1.2,2.943,122.1,10
38.0,Diukes,46.596,4.4,0.8,3.782,8.2,11.6,14.0,13.0,1.0,33.0,24.0,50.4,17.4,7.0,2.4,4.6,0.4,3.203,120.6,5
40.0,FUCK_AMQ,31.667,3.889,0.667,3.711,7.667,7.333,27.0,21.0,1.0,23.778,10.889,37.111,13.333,5.111,1.556,2.556,0.111,3.108,110.0,9
45.0,Noru,54.102,4.333,0.5,4.0,8.667,9.5,18.0,12.0,0.0,32.167,26.0,39.5,7.333,6.5,1.167,2.333,0.333,3.425,107.167,6
46.0,Orfey,35.588,3.8,0.6,3.496,8.0,9.3,29.0,28.0,0.0,25.4,16.2,35.7,10.3,7.0,2.7,2.6,0.0,2.798,117.3,10
47.0,Renzou,52.036,5.8,0.1,3.817,11.0,11.1,31.0,21.0,1.0,35.6,25.9,39.9,4.3,7.8,1.2,1.2,0.3,3.242,118.1,10
49.0,accelerator11,38.017,3.0,3.0,4.304,10.0,6.0,4.0,1.0,0.0,27.0,19.0,56.0,29.0,8.0,4.0,9.0,0.0,3.179,121.0,1
50.0,Sniparook,61.457,8.0,0.0,3.788,12.333,20.667,8.0,7.0,1.0,52.333,34.667,64.667,12.333,11.667,3.0,4.667,1.333,3.132,142.0,3
51.0,Chata,53.599,5.3,0.4,4.07,10.4,11.7,26.0,24.0,2.0,33.2,35.2,37.7,4.5,5.6,1.0,1.0,1.5,3.734,127.7,10
52.0,Thaleko,66.548,5.9,0.0,3.956,13.3,19.6,28.0,23.0,4.0,38.7,48.8,41.9,3.2,7.2,1.0,0.7,1.4,3.57,131.6,10
58.0,Lika,47.034,7.7,0.2,3.502,13.8,13.9,36.0,22.0,0.0,26.8,30.7,28.9,2.1,10.4,1.2,0.3,0.6,2.637,122.3,10
59.0,neoburnz,63.481,5.5,0.0,3.77,12.3,18.0,25.0,27.0,1.0,36.5,35.5,39.7,3.2,6.1,1.1,0.6,0.9,3.511,112.3,10
66.0,bamboo,41.576,4.2,0.5,3.887,8.4,9.4,19.0,36.0,1.0,26.5,23.8,27.3,0.8,7.1,0.4,0.2,0.5,3.412,119.1,10
67.0,DKing20,38.243,1.7,0.0,4.276,4.3,7.9,27.0,28.0,0.0,25.6,18.7,27.0,1.4,4.0,0.4,0.3,0.0,3.866,115.8,10
69.0,Jube,34.409,2.0,0.0,4.125,6.0,4.0,2.0,3.0,0.0,18.0,14.0,24.0,6.0,3.0,2.0,1.0,0.0,3.167,93.0,1
70.0,MahiruShiina,50.993,4.9,0.1,3.863,9.9,11.6,29.0,24.0,0.0,44.1,14.0,53.1,9.0,8.0,2.3,2.6,0.0,3.412,114.2,10
72.0,ruuka,45.454,3.1,0.1,3.751,7.9,12.1,33.0,22.0,0.0,34.2,19.0,51.5,17.3,6.2,2.9,4.1,0.6,3.08,116.9,10
76.0,comfv,44.218,4.0,0.6,3.781,8.6,11.8,31.0,23.0,0.0,22.9,30.2,28.3,5.4,7.6,2.1,1.1,0.6,2.997,120.3,10
77.0,neptune,55.651,4.9,0.0,3.637,10.2,18.4,25.0,28.0,1.0,42.1,24.5,45.5,3.4,5.6,0.7,0.8,0.5,3.347,119.6,10
78.0,doomchicken,52.45,3.9,0.1,3.886,9.4,14.4,29.0,24.0,1.0,44.6,24.2,50.7,6.1,7.3,1.3,1.3,1.0,3.754,131.1,10
79.0,JuliAless64,53.868,3.7,0.2,3.936,8.1,13.8,25.0,26.0,0.0,38.2,21.3,46.4,8.2,7.0,1.3,2.3,0.3,3.576,110.8,10
80.0,moosepi,50.747,2.9,0.1,4.086,8.3,12.7,21.0,34.0,1.0,38.6,27.8,50.1,11.5,5.8,1.9,2.8,0.4,3.635,131.4,10
81.0,Pile,43.71,4.0,0.1,3.865,8.6,10.1,28.0,28.0,0.0,33.8,17.4,51.1,17.3,9.7,5.5,3.9,0.2,2.869,117.1,10
82.0,ShiinaMahiru,56.998,4.0,0.2,3.778,9.3,15.2,25.0,30.0,0.0,27.1,38.4,29.4,2.3,4.7,0.4,0.6,1.2,3.606,114.7,10
