Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Player ID,Offlist hit
2026-03-26 11:37:47,11.519,atsui,31.776,10.926,9,15,0,3.147,19,13.636,25,54.545,12,6,34,107,2,4,0,80,23.913,14.019,15,4,0,12,3,1,3,2.267,1,22
2026-05-08 14:13:54,10.894,atsui,26.357,8.723,4,23,0,3.618,18,4.545,20.339,43.75,8,8,34,129,2,4,0,69.565,16.981,17.829,23,5,3,16,7,1,2,2.739,1,18
2026-05-11 15:24:40,9.655,atsui,34.737,8.927,2,8,1,4.061,12,15.385,32.5,42.857,5,6,33,95,2,3,0,80.952,21.622,22.105,21,6,2,17,4,1,1,3.19,1,16
2026-05-12 11:36:19,9.439,atsui,26.316,5.552,0,19,0,4.629,14,23.81,25,28.125,6,2,35,133,4,2,0,66.667,16.038,20.301,27,1,3,18,9,1,0,3.556,1,17
2026-06-10 16:14:16,10.295,atsui,23.423,7.139,3,15,0,3.538,13,17.391,23.404,26.829,7,5,26,111,1,5,0,63.158,15.217,17.117,19,4,2,12,7,3,1,2.526,1,14
2026-02-03 18:05:29,17.713,watashiii,51.471,16.229,7,12,0,3.671,34,58.621,57.143,41.176,14,18,70,136,4,2,0,58.571,43.939,51.471,70,8,8,41,29,2,2,3.143,4,29
2026-02-17 17:45:45,18.266,watashiii,53.279,16.496,6,9,0,3.508,34,52.381,60.784,46,10,18,65,122,4,1,0,72.917,40.541,39.344,48,5,2,35,13,7,0,2.708,4,30
2026-03-27 16:16:34,19.258,watashiii,53.982,17.502,7,14,1,3.426,37,71.429,50,50,10,22,61,113,3,2,0,66.667,38,55.752,63,15,11,42,21,6,0,2.444,4,19
2026-05-03 15:42:57,19.619,watashiii,52.83,15.546,4,10,0,3.661,29,78.947,48.78,45.652,6,17,56,106,2,3,0,55.556,48.837,59.434,63,5,9,35,28,7,1,2.619,4,21
2026-04-12 16:44:53,13.95,Hejsan,35.57,10.92,2,21,1,3.774,22,53.571,31.746,31.034,8,14,53,149,2,3,1,58.209,17.073,44.966,67,13,12,39,28,3,0,2.746,8,14
2026-04-21 16:01:50,13.916,Hejsan,31.897,9.463,3,17,2,3.811,15,40.909,30.233,29.412,5,11,37,116,1,4,0,47.917,20.588,41.379,48,8,7,23,25,8,1,2.688,8,14
2026-04-27 13:36:23,9.78,KaoriMaeda,37.607,11.611,6,12,0,3.705,19,9.524,45.833,41.667,9,11,44,117,3,3,0,72.5,19.481,34.188,40,3,3,29,11,1,1,2.9,12,15
2026-05-08 14:13:54,9.879,KaoriMaeda,45.283,15.26,7,14,0,3.583,25,72.727,46.296,36.585,19,4,48,106,3,3,0,63.415,33.846,38.679,41,9,5,26,15,4,1,2.829,12,22
2026-05-10 15:35:00,9.481,KaoriMaeda,45.985,11.094,2,15,2,4.524,20,60.87,50.877,35.088,10,4,63,137,3,1,1,73.913,31.868,33.577,46,5,3,34,12,2,0,3.978,12,29
2026-05-11 15:24:40,9.642,KaoriMaeda,50.0,15.47,7,8,0,3.756,21,66.667,42.857,47.059,13,4,45,90,4,1,0,75.61,28.571,45.556,41,9,2,31,10,2,1,2.902,12,14
2026-05-16 12:02:57,10.885,KaoriMaeda,48.175,12.847,5,23,0,4.242,25,45.833,53.191,45.455,11,11,66,137,2,4,0,64.815,37.349,39.416,54,5,9,35,19,7,0,2.833,12,31
2026-05-21 15:56:15,10.201,KaoriMaeda,40.0,13.329,0,14,0,3.548,25,38.889,36.585,43.478,6,13,42,105,4,2,0,65.789,25.373,36.19,38,4,8,25,13,2,0,2.737,12,17
2026-05-22 15:47:27,10.587,KaoriMaeda,39.13,9.816,1,13,0,4.389,15,32,49.206,30,4,9,54,138,4,1,1,68.75,23.333,34.783,48,5,4,33,15,3,0,3.667,12,21
