Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
1,2026-06-10 16:14:16,11.519,atsui,34.737,10.926,9,8,1,4.629,19,4.545,32.5,54.545,12,8,35,133,11,18,0,80.952,23.913,22.105,27,6,3,18,9,3,3,3.556,22
4,2026-05-03 15:42:57,19.619,watashiii,53.982,17.502,7,9,1,3.671,37,78.947,60.784,50,14,22,70,136,13,8,0,72.917,48.837,59.434,70,15,11,42,29,7,2,3.143,30
8,2026-04-21 16:01:50,13.95,Hejsan,35.57,10.92,3,21,2,3.811,22,53.571,31.746,31.034,8,14,53,149,3,7,1,58.209,20.588,44.966,67,13,12,39,28,8,1,2.746,14
12,2026-06-06 18:33:36,13.638,KaoriMaeda,50.0,17.246,10,8,2,4.524,34,9.524,53.191,52.381,19,16,66,138,61,43,2,76.19,37.349,45.556,54,11,9,39,19,7,3,4.0,31
20,2026-02-07 07:17:50,13.241,kar72,60.465,15.546,6,10,0,4.0,29,65.217,67.857,50,10,11,78,129,1,5,0,79.167,49.383,37.209,48,5,3,38,10,0,0,3.292,40
27,2026-05-28 23:51:53,13.965,Deafness,61.864,20.2,11,8,0,4.141,41,77.778,73.077,57.143,22,21,80,137,27,17,1,70.513,51.22,72.269,97,13,13,64,34,15,2,3.346,21
28,2026-06-10 16:14:16,19.089,FORTNAYT,62.81,20.422,13,7,0,3.868,47,76.471,71.93,54.762,20,21,83,145,17,10,1,92.683,48.649,38.843,47,13,4,40,7,3,5,3.632,51
33,2026-05-08 14:13:54,16.171,Tsui,58.333,18.566,8,9,1,4.288,40,80.645,61.364,61.111,20,22,75,145,61,49,1,91.667,55,33.333,46,11,3,32,14,4,5,3.962,55
36,2026-04-27 13:36:23,7.492,anonimus_opinion,34.653,7.618,1,19,1,4.6,15,66.667,37.5,18.605,6,8,44,140,6,6,0,47.826,23.636,45.545,55,10,6,26,29,7,0,3.174,18
44,2026-04-21 16:01:50,15.808,Nicole,45.0,11.872,3,8,2,4.476,22,64.706,48.148,52.381,9,15,54,120,18,8,0,81.818,28.916,39.13,45,5,3,36,18,4,1,4.214,24
45,2026-04-21 16:01:50,10.0,LeNainDuPSG,43.956,10.67,1,4,0,4.325,16,52.381,42.424,40.541,3,10,40,91,2,3,0,58.824,35.088,37.363,34,4,2,20,14,4,0,3.147,20
51,2026-01-28 16:33:45,10.0,Chata,42.969,11.482,6,11,0,3.873,28,25.714,47.5,50.943,11,10,55,128,2,4,0,78.571,25.581,32.812,42,6,2,33,9,2,0,3.381,22
52,2026-05-15 10:45:58,17.718,Thaleko,61.789,20.005,9,8,0,4.053,45,65.385,65.854,60.976,20,17,83,147,22,7,0,86.111,54.348,36,46,12,4,36,10,3,4,3.355,50
58,2026-06-10 16:14:16,22.626,Lika,51.515,21.377,13,7,2,3.851,34,58.333,55.882,60.465,22,20,64,149,68,59,1,92.593,35.714,36.364,37,13,5,32,10,4,4,2.973,41
59,2026-05-14 09:57:33,20.276,neoburnz,60.484,18.669,6,8,1,4.071,38,66.667,65.116,64.912,13,20,77,134,32,27,0,87.179,46.753,45.082,55,10,4,42,16,4,3,3.738,36
67,2026-06-06 18:33:36,10.7,DKing20,38.272,10.263,5,9,1,4.689,18,50,48,43.137,9,10,45,132,12,16,0,91.176,19.608,34.568,36,5,1,31,7,2,1,3.929,16
70,2026-01-24 03:16:34,10.572,MahiruShiina,30.435,9.096,4,20,0,4.5,16,28.571,33.333,32.787,11,8,42,138,11,6,0,55.172,6.25,50,69,8,12,35,34,9,1,3.174,8
72,2026-06-03 12:00:12,7.513,ruuka,29.63,7.742,4,13,0,4.5,10,38.889,25.532,30.233,7,4,32,108,3,3,0,38.889,20.37,50,54,2,5,21,33,4,0,3.111,11
