Player ID,PlayerName,ELONOWR,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,FINAL MODIFIER
394,Komari,127.19,127.19,0.424,0.72,0.006,1.0,0.523,16.0,16.0,4,1,0,53.0,42.0,57.0,4.0,3.0,0.0,0.0,2.0,4.368,132.0,1,4,1,0,5,5,0.0,0.0,0.0
34,YuriMeguri,124.93,124.93,0.416,0.708,0.002,0.0,0.517,13.0,25.0,2,3,1,55.0,66.0,72.0,17.0,8.0,5.0,3.0,1.0,4.125,171.0,1,2,3,1,6,6,0.0,0.0,0.0
58,Lika,120.71,120.71,0.402,0.581,0.007,0.0,0.606,17.0,8.0,3,2,0,29.0,25.0,31.0,2.0,10.0,2.0,0.0,0.0,2.871,93.0,1,3,2,0,5,5,0.0,0.0,0.0
59,neoburnz,120.47,120.47,0.402,0.675,0.002,0.0,0.506,9.0,20.4,8,17,1,43.4,50.0,48.0,4.6,6.6,0.8,2.2,0.8,4.121,138.4,5,8,17,1,26,26,0.0,0.0,0.0
82,ShiinaMahiru,117.81,117.81,0.393,0.645,0.002,0.2,0.511,9.4,15.4,15,11,1,28.8,54.2,30.0,1.2,2.8,0.0,0.4,0.8,4.019,127.6,5,15,11,1,27,27,0.0,0.0,0.0
119,Fumiii,115.87,117.408,0.386,0.66,0.002,0.0,0.475,10.571,16.286,21,17,1,73.143,27.714,77.571,4.429,4.429,0.714,0.857,0.143,4.558,152.714,7,21,17,1,39,39,0.051,0.051,0.103
430,HaruUrara,113.12,113.12,0.377,0.571,0.002,1.0,0.542,8.0,11.0,3,2,0,34.0,30.0,39.0,5.0,6.0,0.0,0.0,0.0,3.615,112.0,1,3,2,0,5,5,0.0,0.0,0.0
77,neptune,112.22,112.22,0.374,0.609,0.0,0.0,0.495,5.0,20.0,9,2,0,52.5,39.0,56.0,3.5,3.5,1.5,1.5,0.0,3.948,150.0,2,9,2,0,11,11,0.0,0.0,0.0
100,IrinaShidou,110.52,110.52,0.368,0.59,0.001,0.0,0.497,5.0,9.0,3,2,0,57.0,22.0,73.0,16.0,5.0,3.0,1.0,0.0,3.918,134.0,1,3,2,0,5,5,0.0,0.0,0.0
149,Zozo,107.87,107.87,0.36,0.545,0.003,1.0,0.517,9.0,11.0,8,14,0,40.5,32.0,46.5,6.0,4.5,1.25,1.5,1.0,4.011,132.25,4,8,14,0,22,22,0.0,0.0,0.0
291,ss_r_white_pony,105.54,105.54,0.352,0.467,0.005,0.0,0.575,9.0,5.0,2,3,0,27.0,15.0,29.0,2.0,7.0,1.0,1.0,0.0,3.379,90.0,1,2,3,0,5,5,0.0,0.0,0.0
358,mangoss,105.04,105.04,0.35,0.57,0.001,0.25,0.462,6.25,11.25,8,13,1,47.75,28.75,53.75,6.0,4.75,0.5,2.0,0.5,4.534,134.75,4,8,13,1,22,22,0.0,0.0,0.0
150,Bommie,104.49,104.49,0.348,0.595,0.001,1.0,0.43,5.5,7.5,9,12,0,67.0,20.5,71.0,4.0,2.25,1.0,0.75,0.25,4.776,146.5,4,9,12,0,21,21,0.0,0.0,0.0
143,mahzrunner,104.18,104.18,0.347,0.546,0.002,0.0,0.479,9.0,8.2,15,13,0,45.0,35.8,53.4,8.4,6.0,1.0,0.8,0.6,4.187,147.8,5,15,13,0,28,28,0.0,0.0,0.0
