Komari, old rank: 111.045, new rank: 127.19, diff: 16.145
IAmAsianNoob, old rank: 65.985, new rank: 81.79, diff: 15.805
erzakuran, old rank: 53.011, new rank: 64.9, diff: 11.889
qwecocacola, old rank: 89.278, new rank: 99.07, diff: 9.792
Lika, old rank: 111.58, new rank: 120.71, diff: 9.13
Isekaijoucho, old rank: 85.543, new rank: 94.27, diff: 8.727
Progenitor, old rank: 95.2, new rank: 102.65, diff: 7.45
HaruUrara, old rank: 106.55, new rank: 113.12, diff: 6.57
Shadow, old rank: 88.89, new rank: 94.862, diff: 5.972
mangoss, old rank: 102.269, new rank: 107.82, diff: 5.551
ss_r_white_pony, old rank: 100.35, new rank: 105.54, diff: 5.19
Spitzell, old rank: 94.059, new rank: 99.04, diff: 4.981
zomg, old rank: 73.645, new rank: 78.18, diff: 4.535
Kyuuuu, old rank: 76.113, new rank: 80.16, diff: 4.047
YellowRose, old rank: 83.998, new rank: 87.7, diff: 3.702
Solosion, old rank: 93.26, new rank: 96.13, diff: 2.87
Deja_, old rank: 96.619, new rank: 99.44, diff: 2.821
legrandort, old rank: 79.78, new rank: 82.15, diff: 2.37
KNotAnyMore, old rank: 93.3, new rank: 95.6, diff: 2.3
pomo, old rank: 95.216, new rank: 96.75, diff: 1.534
chaabdu92, old rank: 79.49, new rank: 80.76, diff: 1.27
AkatsukiKirika, old rank: 75.346, new rank: 76.48, diff: 1.134
civiltwlight, old rank: 105.61, new rank: 106.73, diff: 1.12
Fumiii, old rank: 115.736, new rank: 116.759, diff: 1.023
IrinaShidou, old rank: 109.84, new rank: 110.52, diff: 0.68
Bommie, old rank: 103.866, new rank: 104.49, diff: 0.624
hakohoka, old rank: 58.914, new rank: 58.62, diff: -0.294
redeyes, old rank: 99.13, new rank: 98.41, diff: -0.72
MythAndroid, old rank: 60.17, new rank: 59.28, diff: -0.89
ShelterRin, old rank: 104.32, new rank: 103.1, diff: -1.22
mahzrunner, old rank: 105.84, new rank: 104.6, diff: -1.24
neoburnz, old rank: 122.285, new rank: 120.47, diff: -1.815
Janoxx, old rank: 88.135, new rank: 86.12, diff: -2.015
Zozo, old rank: 109.922, new rank: 107.87, diff: -2.052
neptune, old rank: 115.02, new rank: 112.22, diff: -2.8
Catge, old rank: 85.094, new rank: 81.79, diff: -3.304
ShiinaMahiru, old rank: 121.294, new rank: 117.81, diff: -3.484
Patoche49, old rank: 79.373, new rank: 75.7, diff: -3.673
chommy, old rank: 92.262, new rank: 88.42, diff: -3.842
PotassiumF, old rank: 90.724, new rank: 86.87, diff: -3.854
2skr, old rank: 84.337, new rank: 80.26, diff: -4.077
xeyz, old rank: 67.815, new rank: 63.725, diff: -4.09
ElJuanchi, old rank: 76.052, new rank: 71.902, diff: -4.15
anicomi, old rank: 71.44, new rank: 66.25, diff: -5.19
Swapin, old rank: 86.58, new rank: 81.33, diff: -5.25
chemist, old rank: 87.51, new rank: 80.85, diff: -6.66
AitsukiNakuru, old rank: 106.0, new rank: 97.95, diff: -8.05
chiabobo, old rank: 45.7, new rank: 37.25, diff: -8.45
Mami, old rank: 99.06, new rank: 90.22, diff: -8.84
TateyamaAyano, old rank: 77.88, new rank: 68.08, diff: -9.8
metak, old rank: 79.2, new rank: 67.67, diff: -11.53
JuliAless64, old rank: 109.84, new rank: 97.21, diff: -12.63
Luna, old rank: 85.086, new rank: 69.0, diff: -16.086
AppuruPai, old rank: 83.74, new rank: 63.36, diff: -20.38
